  ARS_name        A4        B4        C4        D4        E4        F4        G4        H4        A5        B5        C5        D5        E5        F5        G5        H5        A6        B6        C6        D6        E6        F6        G6        H6        I6        J6        K6        L6        A7        B7        C7        D7        E7        F7        G7        H7        I7        J7        K7        L7      H7_c      I7_c      J7_c      K7_c      L7_c        A8        B8        C8        D8        E8        F8        I8        J8        K8        L8        M8        N8       A10       B10       C10       D10       E10       F10       G10       H10
    ARS102       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
  ARS102.5     0.006       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.009       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.017     0.030       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.003       NaN       NaN       NaN     0.044       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS103       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS104       NaN     0.094     0.103     0.483     0.059       NaN     0.216     0.735     0.116     0.226     0.112     0.269     0.055     0.258     0.040     0.194     0.183       NaN     0.420       NaN       NaN       NaN     0.066     0.041       NaN     0.248     0.471     0.683       NaN       NaN     0.109     0.452       NaN       NaN       NaN       NaN     0.857       NaN     0.576       NaN       NaN       NaN       NaN       NaN       NaN     0.027     0.111     0.319     0.214     0.424     0.785       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.280       NaN
    ARS105       NaN       NaN     0.051     0.356     0.034     0.074     0.150     0.643     0.036     0.105     0.029     0.168       NaN     0.133     0.011     0.103     0.055       NaN       NaN       NaN       NaN       NaN     0.019     0.012     0.014     0.139     0.419     0.608       NaN       NaN     0.058     0.385       NaN       NaN       NaN       NaN     0.737       NaN       NaN       NaN       NaN     0.740       NaN       NaN       NaN     0.007     0.042     0.218     0.121     0.344     0.713       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS106     0.038     0.094     0.293     0.440     0.099     0.102     0.323     0.558     0.100     0.108     0.117     0.153     0.045     0.106     0.027     0.083     0.194     0.076     0.187     0.249     0.095     0.200     0.065     0.056     0.053     0.125     0.419     0.575     0.042     0.083     0.289     0.447     0.107     0.059     0.090     0.064     0.527       NaN     0.252     0.263     0.064     0.529       NaN     0.293     0.280     0.024     0.245     0.505     0.119     0.456     0.653     0.219       NaN       NaN     0.260       NaN     0.211     0.093     0.120     0.333     0.369     0.156     0.174     0.390     0.419
    ARS107     0.129     0.260     0.398     0.803     0.166     0.282     0.599     1.081     0.338     0.523     0.304     0.561     0.196     0.551     0.134     0.465     0.379     0.224     0.831     0.579     0.373     0.556     0.359     0.190     0.144     0.670     0.925     0.925     0.138     0.255     0.441     0.784     0.213       NaN     0.134     0.208     1.025       NaN     0.439       NaN     0.208     1.029       NaN     0.510       NaN     0.227     0.404     0.710     0.564     0.809     1.001       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.406     0.519     0.707       NaN       NaN     0.624     0.863
  ARS107.5     0.129     0.260     0.398     0.015     0.166     0.282     0.599     0.023     0.338     0.523     0.304     0.561     0.196     0.551     0.134     0.465     0.379     0.224     0.831     0.579     0.373     0.556     0.013     0.190     0.144     0.021     0.024     0.020     0.138     0.255     0.044     0.017     0.213       NaN     0.134     0.208     0.025       NaN     0.439       NaN     0.208     0.025       NaN     0.510       NaN     0.227     0.030     0.035     0.011     0.027     0.027       NaN       NaN       NaN       NaN       NaN       NaN       NaN     0.406     0.519     0.707       NaN       NaN     0.624     0.863
    ARS108     1.043     0.902     1.075     0.832       NaN     0.759     0.971     0.778     0.765     0.523     0.772     0.483     0.839     0.617     0.696     0.428     0.893     0.555     0.444     0.589     0.507     0.721     0.901     1.053     0.979     0.535     0.826     0.726     0.940     0.733     0.980     0.728     0.669       NaN       NaN       NaN     0.614       NaN       NaN       NaN       NaN     0.616       NaN       NaN       NaN     1.001     1.041     1.024     0.568     0.824     0.800       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
    ARS109       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN
